id,orderId,brandName,campaignName,market,team,function,taskName,description,owner,priority,status,slaDeadline,dependency,proofLink,comments,createdAt,updatedAt,slaStatus
TRYGC-BO-2026-0001-T01,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,Account Management,Account Management,Review client request,"Validate brief completeness, scope, timeline, commercial model, and internal launch readiness.",Campaign Manager,High,Blocked,2026-05-11T19:01:16.261Z,-,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Escalated
TRYGC-BO-2026-0001-T02,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,Community,Community,Build influencer list,"Filter creators by market, city, category, tier, language, followers, and blacklists.",Community Lead,High,Not Started,2026-05-12T02:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0001-T03,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,Community,Community,Collect confirmations,"Send invitations, manage responses, confirm creator availability, and prepare approval list if required.",Community Lead,High,Not Started,2026-05-12T02:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0001-T04,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,Coordination,Coordination,Prepare coordination plan,"Confirm branches, visit windows, creator instructions, client availability, and schedule.",Coordination Lead,High,Not Started,2026-05-11T23:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0001-T05,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,Coverage,Coverage,Prepare coverage tracker,"Create deliverables tracker for stories, reels, posts, TikTok, Snapchat, UGC, proof links, and deadlines.",Coverage Lead,High,Not Started,2026-05-12T13:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0001-T06,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,QA,QA,Validate content requirements,"Review campaign guidelines, tags, brand tone, approval logic, and QA checklist.",QA Lead,High,Not Started,2026-05-11T20:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Due Soon
TRYGC-BO-2026-0001-T07,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,Finance,Finance,Validate commercials,"Confirm budget, currency, compensation model, payment status, and invoice/payment risks.",Finance Lead,High,Not Started,2026-05-12T02:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0001-T08,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,Management,Management,Monitor campaign risk,"Review SLA exposure, urgency, missing information, and escalation requirements.",Head of Operations,High,In Progress,2026-05-11T19:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Due Soon
TRYGC-BO-2026-0001-T09,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,Coordination,Coordination,Confirm branch visit schedule,"Lock branch schedule, slots, creator arrival process, and no-show escalation rule.",Coordination Lead,High,Not Started,2026-05-11T23:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
TRYGC-BO-2026-0001-T10,TRYGC-BO-2026-0001,Starbucks,Mr Beast Riyadh Visit Push,KSA,Coverage,Coverage,Track visit-to-post completion,Compare confirmed visits against submitted coverage and flag missing coverage.,Coverage Lead,High,Not Started,2026-05-12T13:01:16.261Z,Previous workflow readiness,,,2026-05-11T15:01:16.261Z,2026-05-11T15:01:16.261Z,Within SLA
